Date,Hora,Zone,Demand
26/01/2010,4,GERENCIA,1161
26/01/2010,5,GERENCIA,1153
26/01/2010,6,GERENCIA,1166
26/01/2010,7,GERENCIA,1227
26/01/2010,8,GERENCIA,1330
26/01/2010,9,GERENCIA,1354
26/01/2010,10,GERENCIA,1379
26/01/2010,11,GERENCIA,1428
26/01/2010,12,GERENCIA,1477
26/01/2010,13,GERENCIA,1499
26/01/2010,14,GERENCIA,1497
26/01/2010,15,GERENCIA,1500
26/01/2010,16,GERENCIA,1502
26/01/2010,17,GERENCIA,1505
26/01/2010,18,GERENCIA,1493
26/01/2010,19,GERENCIA,1489
26/01/2010,20,GERENCIA,1640
26/01/2010,21,GERENCIA,1685
26/01/2010,22,GERENCIA,1644
26/01/2010,23,GERENCIA,1562
26/01/2010,24,GERENCIA,1450
27/01/2010,1,GERENCIA,1337
27/01/2010,2,GERENCIA,1260
27/01/2010,3,GERENCIA,1216
27/01/2010,4,GERENCIA,1197
27/01/2010,5,GERENCIA,1192
27/01/2010,6,GERENCIA,1203
27/01/2010,7,GERENCIA,1259
27/01/2010,8,GERENCIA,1375
27/01/2010,9,GERENCIA,1399
27/01/2010,10,GERENCIA,1424
27/01/2010,11,GERENCIA,1467
27/01/2010,12,GERENCIA,1513
27/01/2010,13,GERENCIA,1534
27/01/2010,14,GERENCIA,1527
27/01/2010,15,GERENCIA,1528
27/01/2010,16,GERENCIA,1531
27/01/2010,17,GERENCIA,1532
27/01/2010,18,GERENCIA,1525
27/01/2010,19,GERENCIA,1533
27/01/2010,20,GERENCIA,1667
27/01/2010,21,GERENCIA,1696
27/01/2010,22,GERENCIA,1647
27/01/2010,23,GERENCIA,1566
27/01/2010,24,GERENCIA,1458
28/01/2010,1,GERENCIA,1349
28/01/2010,2,GERENCIA,1265
28/01/2010,3,GERENCIA,1222
28/01/2010,4,GERENCIA,1202
28/01/2010,5,GERENCIA,1196
28/01/2010,6,GERENCIA,1203
28/01/2010,7,GERENCIA,1261
28/01/2010,8,GERENCIA,1362
28/01/2010,9,GERENCIA,1392
28/01/2010,10,GERENCIA,1414
28/01/2010,11,GERENCIA,1458
28/01/2010,12,GERENCIA,1487
28/01/2010,13,GERENCIA,1506
28/01/2010,14,GERENCIA,1503
28/01/2010,15,GERENCIA,1501
28/01/2010,16,GERENCIA,1495
28/01/2010,17,GERENCIA,1490
28/01/2010,18,GERENCIA,1478
28/01/2010,19,GERENCIA,1473
